# text = increase and decrease in volume or pitch, as if in waves; 
# id = 00581355-v-1
# type = def
1	increase	wf	VB	increase%1|increase%2	increase%2:30:02::	man	0:8
# type = def
1	winged	wf	JJ	wing%2|winged%3	winged%3:00:00::	man	0:6
2	monster	wf	NN	monster%1	monster%1:18:02::	man	7:14
3	with	wf	IN	with	_	ignore	15:19
4	the	wf	DT	the	_	ignore	20:23
5	head	wf	NN	head%1|head%2	head%1:08:00::	man	24:28
6	of	wf	IN	of	_	ignore	29:31
7	an	wf	DT	an	_	ignore	32:34
8	eagle	wf	NN	eagle%1|eagle%2	eagle%1:05:00::	man	35:40
9	and	wf	CC	and	_	ignore	41:44
10	the	wf	DT	the	_	ignore	45:48
11	body	wf	NN	body%1|body%2	body%1:08:00::	man	49:53
12	of	wf	IN	of	_	ignore	54:56
13	a	wf	DT	a	_	ignore	57:58
14	lion	wf	NN	lion%1	lion%1:05:00::	man	59:63

# text = king of Ethiopia and husband of Cassiopeia
# id = 09497641-n-1
# type = def
1	king	wf	NN	king%1	_	un	0:4
2	of	wf	IN	of	_	ignore	5:7
3	Ethiopia	wf	NNP	Ethiopia%1	ethiopia%1:15:00::	auto	8:16
4	and	wf	CC	and	_	ignore	17:20
5	husband	wf	NN	husband%1|husband%2	_	un	21:28
6	of	wf	IN	of	_	ignore	29:31
7	Cassiopeia	wf	NNP	Cassiopeia%1	_	un	32:42

# text = one of the three Gorgons
# id = 09498072-n-1
# type = def
1	one	wf	CD	one	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	the	wf	DT	the	_	ignore	7:10
4	three	wf	CD	three	_	ignore	11:16
5	Gorgons	wf	NNP	Gorgon%1	gorgon%1:18:00::	auto	17:24

# text = the Greek god of sleep; the son of Nyx
# id = 09496673-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	Greek	wf	JJ	Greek%1|Greek%3	_	un	4:9
3	god	wf	NN	god%1	god%1:18:01::	man	10:13
4	of	wf	IN	of	_	ignore	14:16
5	sleep	wf	NN	sleep%1|sleep%2	sleep%1:26:00::	man	17:22
6	;	wf	punc	_	_	ignore	22:23
7	the	wf	DT	the	_	ignore	24:27
8	son	wf	NN	son%1	son%1:18:00::	auto	28:31
9	of	wf	IN	of	_	ignore	32:34
10	Nyx	wf	NNP	Nyx%1	nyx%1:18:00::	auto	35:38

# text = one of the three Gorgons
# id = 09498186-n-1
# type = def
1	one	wf	CD	one	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	the	wf	DT	the	_	ignore	7:10
4	three	wf	CD	three	_	ignore	11:16
5	Gorgons	wf	NNP	Gorgon%1	gorgon%1:18:00::	auto	17:24

# text = vicious winged monster; often depicted as a bird with the head of a woman
# id = 09496099-n-1
# type = def
1	vicious	wf	JJ	vicious%3	vicious%5:00:00:malicious:00	man	0:7
2	winged	wf	JJ	wing%2|winged%3	winged%3:00:00::	man	8:14
3	monster	wf	NN	monster%1	monster%1:18:02::	man	15:22
4	;	wf	punc	_	_	ignore	22:23
5	often	wf	RB	often%4	_	un	24:29
6	depicted	wf	VBN	depict%2|depicted%3	depict%2:36:00::	man	30:38
7	as	wf	IN	as	_	ignore	39:41
8	a	wf	DT	a	_	ignore	42:43
9	bird	wf	NN	bird%1|bird%2	bird%1:05:00::	man	44:48
10	with	wf	IN	with	_	ignore	49:53
11	the	wf	DT	the	_	ignore	54:57
12	head	wf	NN	head%1|head%2	head%1:08:00::	man	58:62
13	of	wf	IN	of	_	ignore	63:65
14	a	wf	DT	a	_	ignore	66:67
15	woman	wf	NN	woman%1	woman%1:18:00::	man	68:73

# text = the wife of Cepheus and mother of Andromeda
# id = 09497775-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	wife	wf	NN	wife%1	wife%1:18:00::	auto	4:8
3	of	wf	IN	of	_	ignore	9:11
4	Cepheus	wf	NNP	Cepheus%1	_	un	12:19
5	and	wf	CC	and	_	ignore	20:23
6	mother	wf	NN	mother%1|mother%2	_	un	24:30
7	of	wf	IN	of	_	ignore	31:33
8	Andromeda	wf	NNP	Andromeda%1	_	un	34:43

# text = one of a people that the ancient Greeks believed lived in a warm and sunny land north of the source of the north wind
# id = 09496460-n-1
# type = def
1	one	wf	CD	one	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	a	wf	DT	a	_	ignore	7:8
4	people	wf	NNS	people%1|people%2	_	un	9:15
5	that	wf	IN	that	_	ignore	16:20
6	the	wf	DT	the	_	ignore	21:24
7	ancient	wf	JJ	ancient%1|ancient%3	ancient%5:00:00:past:00	man	25:32
8	Greeks	wf	NNP	Greek%1	_	un	33:39
9	believed	wf	VBN	believe%2	_	un	40:48
10	lived	wf	VBN	live%2	_	un	49:54
11	in	wf	IN	in	_	ignore	55:57
12	a	wf	DT	a	_	ignore	58:59
13	warm	wf	JJ	warm%2|warm%3|warm%4	warm%3:00:01::	man	60:64
14	and	wf	CC	and	_	ignore	65:68
15	sunny	wf	JJ	sunny%3	sunny%5:00:00:cheerful:00	auto	69:74
16	land	wf	NN	land%1|land%2	_	un	75:79
17	north	wf	RB	north%1|north%3|north%4	north%4:02:00::	man	80:85
18	of	wf	IN	of	_	ignore	86:88
19	the	wf	DT	the	_	ignore	89:92
20	source	wf	NN	source%1|source%2	_	un	93:99
21	of	wf	IN	of	_	ignore	100:102
22	the	wf	DT	the	_	ignore	103:106
23	_	glob|a	_	north_wind%1	north_wind%1:19:00::	auto	_
24	north	cf|a	JJ	north%1|north%3|north%4	_	un	107:112
25	wind	cf|a	NN	wind%1|wind%2	_	un	113:117

# text = monster with nine heads; when struck off each head was replaced by two new ones; 
# id = 09496261-n-1
# type = def
1	monster	wf	NN	monster%1	monster%1:18:02::	man	0:7
2	with	wf	IN	with	_	ignore	8:12
3	nine	wf	CD	nine	_	ignore	13:17
4	heads	wf	NNS	head%1|head%2	head%1:08:00::	man	18:23
5	;	wf	punc	_	_	ignore	23:24
6	when	wf	WRB	when	_	ignore	25:29
7	struck	wf	VBN	strike%2|struck%3	strike%2:35:00::	man	30:36
8	off	wf	IN	off%2|off%3|off%4	_	un	37:40
9	each	wf	DT	each	_	ignore	41:45
10	head	wf	NN	head%1|head%2	head%1:08:00::	man	46:50
11	was	wf	VBD	be%2	_	un	51:54
12	replaced	wf	VBN	replace%2	_	un	55:63
13	by	wf	IN	by	_	ignore	64:66
14	two	wf	CD	two	_	ignore	67:70
15	new	wf	JJ	new%3|new%4	_	un	71:74
16	ones	wf	NNS	ones	_	ignore	75:79
17	;	wf	punc	_	_	ignore	79:80

# text = Hydra was slain by Hercules
# id = 09496261-n-2
# type = ex
1	Hydra	wf	_	Hydra%1|hydra%1	hydra%1:18:00::	auto	0:5
2	was	wf	_	be%2	_	un	6:9
3	slain	wf	_	slain%1|slay%2|slain%3	_	un	10:15
4	by	wf	_	by	_	ignore	16:18
5	Hercules	wf	_	Hercules%1	_	un	19:27

# text = any of three winged sister monsters and the mortal Medusa who had live snakes for hair; a glance at Medusa turned the beholder to stone
# id = 09495103-n-1
# type = def
1	any	wf	DT	any	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	three	wf	CD	three	_	ignore	7:12
4	winged	wf	JJ	wing%2|winged%3	winged%3:00:00::	man	13:19
5	sister	wf	NN	sister%1	sister%1:18:00::	man	20:26
6	monsters	wf	NN	monster%1	monster%1:18:02::	man	27:35
7	and	wf	CC	and	_	ignore	36:39
8	the	wf	DT	the	_	ignore	40:43
9	mortal	wf	JJ	mortal%1|mortal%3	mortal%5:00:01:fatal:00	man	44:50
10	Medusa	wf	NNP	Medusa%1	_	un	51:57
11	who	wf	WP	who	_	ignore	58:61
12	had	wf	VBD	have%2	_	un	62:65
13	live	wf	JJ	live%2|live%3|live%4	_	un	66:70
14	snakes	wf	NNS	snake%1|snake%2	snake%2:38:01::	man	71:77
15	for	wf	IN	for	_	ignore	78:81
16	hair	wf	NN	hair%1	hair%1:08:00::	man	82:86
17	;	wf	punc	_	_	ignore	86:87
18	a	wf	DT	a	_	ignore	88:89
19	glance	wf	NN	glance%1|glance%2	glance%1:04:00::	man	90:96
20	at	wf	IN	at	_	ignore	97:99
21	Medusa	wf	NNP	Medusa%1	_	un	100:106
22	turned	wf	VBD	turn%2|turned%3	_	un	107:113
23	the	wf	DT	the	_	ignore	114:117
24	beholder	wf	NN	beholder%1	beholder%1:18:00::	auto	118:126
25	to	wf	TO	to	_	ignore	127:129
26	stone	wf	VB	stone%1|stone%2|stone%3	stone%1:17:00::	man	130:135

# text = the daughter of Tantalus whose boasting about her children provoked Apollo and Artemis to slay them all; Niobe was turned to stone while bewailing her loss
# id = 09496918-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	daughter	wf	NN	daughter%1	daughter%1:18:00::	auto	4:12
3	of	wf	IN	of	_	ignore	13:15
4	Tantalus	wf	NNP	Tantalus%1	tantalus%1:18:00::	auto	16:24
5	whose	wf	WP$	whose	_	ignore	25:30
6	boasting	wf	NN	boasting%1|boast%2	boasting%1:10:00::	man	31:39
7	about	wf	IN	about%3|about%4	_	un	40:45
8	her	wf	PRP$	her	_	ignore	46:49
9	children	wf	NNS	child%1	child%1:18:00::	man	50:58
10	provoked	wf	JJ	provoke%2|provoked%3	provoked%5:00:00:angry:00	man	59:67
11	Apollo	wf	NNP	Apollo%1	apollo%1:18:00::	auto	68:74
12	and	wf	CC	and	_	ignore	75:78
13	Artemis	wf	NNP	Artemis%1	artemis%1:18:00::	auto	79:86
14	to	wf	TO	to	_	ignore	87:89
15	slay	wf	VB	slay%2	slay%2:41:00::	man	90:94
16	them	wf	PRP	them	_	ignore	95:99
17	all	wf	JJ	all%3|all%4	_	un	100:103
18	;	wf	punc	_	_	ignore	103:104
19	Niobe	wf	NNP	Niobe%1	_	un	105:110
20	was	wf	VBD	be%2	_	un	111:114
21	turned	wf	VBD	turn%2|turned%3	_	un	115:121
22	to	wf	TO	to	_	ignore	122:124
23	stone	wf	VB	stone%1|stone%2|stone%3	stone%1:17:00::	man	125:130
24	while	wf	IN	while%1	_	un	131:136
25	bewailing	wf	VBG	bewail%2	bewail%2:32:00::	auto	137:146
26	her	wf	PRP$	her	_	ignore	147:150
27	loss	wf	NN	loss%1	_	un	151:155

# text = one of the three Graces
# id = 09495619-n-1
# type = def
1	one	wf	CD	one	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	the	wf	DT	the	_	ignore	7:10
4	three	wf	CD	three	_	ignore	11:16
5	Graces	wf	NNP	Grace%1	grace%1:18:00::	man	17:23

# text = a woman transformed into a Gorgon by Athena; she was slain by Perseus
# id = 09497913-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	woman	wf	NN	woman%1	woman%1:18:00::	man	2:7
3	transformed	wf	VBN	transform%2|transformed%3	_	un	8:19
4	into	wf	IN	into	_	ignore	20:24
5	a	wf	DT	a	_	ignore	25:26
6	Gorgon	wf	NNP	Gorgon%1	gorgon%1:18:00::	auto	27:33
7	by	wf	IN	by	_	ignore	34:36
8	Athena	wf	NNP	Athena%1	athena%1:18:00::	auto	37:43
9	;	wf	punc	_	_	ignore	43:44
10	she	wf	PRP	she	_	ignore	45:48
11	was	wf	VBD	be%2	_	un	49:52
12	slain	wf	VBN	slain%1|slay%2|slain%3	slay%2:41:00::	man	53:58
13	by	wf	IN	by	_	ignore	59:61
14	Perseus	wf	NNP	Perseus%1	perseus%1:18:00::	man	62:69

# text = the Roman god of sleep and dreams
# id = 09499230-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	Roman	wf	JJ	Roman%1|Roman%3	roman%3:01:01::	man	4:9
3	god	wf	NN	god%1	god%1:18:01::	man	10:13
4	of	wf	IN	of	_	ignore	14:16
5	sleep	wf	NN	sleep%1|sleep%2	sleep%1:26:00::	man	17:22
6	and	wf	CC	and	_	ignore	23:26
7	dreams	wf	NNS	dream%1|dream%2	dream%1:09:01::	man	27:33

# text = the son of Zeus who slew Medusa (with the help of Athena and Hermes) and rescued Andromeda from a sea monster
# id = 09497163-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	son	wf	NN	son%1	son%1:18:00::	auto	4:7
3	of	wf	IN	of	_	ignore	8:10
4	Zeus	wf	NNP	Zeus%1	zeus%1:18:00::	man	11:15
5	who	wf	WP	who	_	ignore	16:19
6	slew	wf	VB	slew%1|slay%2|slew%2	slay%2:41:00::	man	20:24
7	Medusa	wf	NNP	Medusa%1	_	un	25:31
8	(	wf	punc	_	_	ignore	32:33
9	with	wf	IN	with	_	ignore	33:37
10	the	wf	DT	the	_	ignore	38:41
11	help	wf	NN	help%1|help%2	_	un	42:46
12	of	wf	IN	of	_	ignore	47:49
13	Athena	wf	NNP	Athena%1	athena%1:18:00::	auto	50:56
14	and	wf	CC	and	_	ignore	57:60
15	Hermes	wf	NNP	Hermes%1	hermes%1:18:00::	auto	61:67
16	)	wf	punc	_	_	ignore	67:68
17	and	wf	CC	and	_	ignore	69:72
18	rescued	wf	VBN	rescue%2|rescued%3	rescue%2:41:00::	man	73:80
19	Andromeda	wf	NNP	Andromeda%1	_	un	81:90
20	from	wf	IN	from	_	ignore	91:95
21	a	wf	DT	a	_	ignore	96:97
22	sea	wf	NN	sea%1	sea%1:17:00::	man	98:101
23	monster	wf	NN	monster%1	monster%1:18:02::	man	102:109

# text = the greedy king of Phrygia who Dionysus gave the power to turn everything he touched into gold
# id = 09498497-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	greedy	wf	JJ	greedy%3	greedy%5:00:00:acquisitive:00	man	4:10
3	king	wf	NN	king%1	king%1:18:00::	man	11:15
4	of	wf	IN	of	_	ignore	16:18
5	Phrygia	wf	NNP	Phrygia%1	phrygia%1:15:00::	auto	19:26
6	who	wf	WP	who	_	ignore	27:30
7	Dionysus	wf	NNP	Dionysus%1	dionysus%1:18:00::	auto	31:39
8	gave	wf	VB	give%2	_	un	40:44
9	the	wf	DT	the	_	ignore	45:48
10	power	wf	NN	power%1|power%2	_	un	49:54
11	to	wf	TO	to	_	ignore	55:57
12	turn	wf	VB	turn%1|turn%2	_	un	58:62
13	everything	wf	PRP	everything	_	ignore	63:73
14	he	wf	PRP	he	_	ignore	74:76
15	touched	wf	VBN	touch%2|touched%3	touch%2:35:00::	man	77:84
16	into	wf	IN	into	_	ignore	85:89
17	gold	wf	NN	gold%1|gold%3	gold%1:27:00::	man	90:94

# text = an enormous lion strangled by Hercules as the first of his 12 labors
# id = 09499494-n-1
# type = def
1	an	wf	DT	an	_	ignore	0:2
2	enormous	wf	JJ	enormous%3	enormous%5:00:00:large:00	auto	3:11
3	lion	wf	NN	lion%1	lion%1:05:00::	man	12:16
4	strangled	wf	JJ	strangle%2|strangled%3	strangle%2:35:00::	man	17:26
5	by	wf	IN	by	_	ignore	27:29
6	Hercules	wf	NNP	Hercules%1	hercules%1:18:00::	man	30:38
7	as	wf	IN	as	_	ignore	39:41
8	the	wf	DT	the	_	ignore	42:45
9	first	wf	JJ	first%1|first%3|first%4	_	un	46:51
10	of	wf	IN	of	_	ignore	52:54
11	his	wf	PRP$	his	_	ignore	55:58
12	12	wf	CD	12	_	ignore	59:61
13	labors	wf	NN	labor%1|labor%2	labor%1:04:01::	man	62:68

# text = a mythical monster having the head of man (with horns) and the body of a lion and the tail of a scorpion
# id = 09498301-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	_	glob|a	_	mythical_monster%1	mythical_monster%1:18:00::	auto	_
3	mythical	cf|a	JJ	mythical%3	_	un	2:10
4	monster	cf|a	NN	monster%1	_	un	11:18
5	having	wf	VBG	have%2	_	un	19:25
6	the	wf	DT	the	_	ignore	26:29
7	head	wf	NN	head%1|head%2	head%1:08:00::	man	30:34
8	of	wf	IN	of	_	ignore	35:37
9	man	wf	NN	man%1|man%2	man%1:18:00::	man	38:41
10	(	wf	punc	_	_	ignore	42:43
11	with	wf	IN	with	_	ignore	43:47
12	horns	wf	NNS	horn%1|horn%2	_	un	48:53
13	)	wf	punc	_	_	ignore	53:54
14	and	wf	CC	and	_	ignore	55:58
15	the	wf	DT	the	_	ignore	59:62
16	body	wf	NN	body%1|body%2	body%1:08:00::	man	63:67
17	of	wf	IN	of	_	ignore	68:70
18	a	wf	DT	a	_	ignore	71:72
19	lion	wf	NN	lion%1	lion%1:05:00::	man	73:77
20	and	wf	CC	and	_	ignore	78:81
21	the	wf	DT	the	_	ignore	82:85
22	tail	wf	NN	tail%1|tail%2	tail%1:05:00::	man	86:90
23	of	wf	IN	of	_	ignore	91:93
24	a	wf	DT	a	_	ignore	94:95
25	scorpion	wf	NN	scorpion%1	scorpion%1:05:00::	man	96:104

# text = a companion or follower of Siegfried
# id = 09499854-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	companion	wf	NN	companion%1|companion%2	companion%1:18:00::	man	2:11
3	or	wf	CC	or	_	ignore	12:14
4	follower	wf	NN	follower%1	follower%1:18:00::	man	15:23
5	of	wf	IN	of	_	ignore	24:26
6	Siegfried	wf	NNP	Siegfried%1	siegfried%1:18:00::	auto	27:36

# text = an Ethiopian princess and daughter of Cassiopeia; she was fastened to a rock and exposed to a sea monster that was sent by Poseidon, but she was rescued by Perseus and became his wife
# id = 09497364-n-1
# type = def
1	an	wf	DT	an	_	ignore	0:2
2	Ethiopian	wf	JJ	Ethiopian%1|Ethiopian%3	_	un	3:12
3	princess	wf	NN	princess%1	princess%1:18:00::	auto	13:21
4	and	wf	CC	and	_	ignore	22:25
5	daughter	wf	NN	daughter%1	daughter%1:18:00::	auto	26:34
6	of	wf	IN	of	_	ignore	35:37
7	Cassiopeia	wf	NNP	Cassiopeia%1	_	un	38:48
8	;	wf	punc	_	_	ignore	48:49
9	she	wf	PRP	she	_	ignore	50:53
10	was	wf	VBD	be%2	_	un	54:57
11	fastened	wf	VBN	fasten%2|fastened%3	_	un	58:66
12	to	wf	TO	to	_	ignore	67:69
13	a	wf	DT	a	_	ignore	70:71
14	rock	wf	NN	rock%1|rock%2	_	un	72:76
15	and	wf	CC	and	_	ignore	77:80
16	exposed	wf	VBN	expose%2|exposed%3	_	un	81:88
17	to	wf	TO	to	_	ignore	89:91
18	a	wf	DT	a	_	ignore	92:93
19	sea	wf	NN	sea%1	_	un	94:97
20	monster	wf	NN	monster%1	_	un	98:105
21	that	wf	WDT	that	_	ignore	106:110
22	was	wf	VBD	be%2	_	un	111:114
23	sent	wf	VBN	sent%1|send%2|sent%3	_	un	115:119
24	by	wf	IN	by	_	ignore	120:122
25	Poseidon	wf	NNP	Poseidon%1	poseidon%1:18:00::	auto	123:131
26	,	wf	punc	_	_	ignore	131:132
27	but	wf	CC	but	_	ignore	133:136
28	she	wf	PRP	she	_	ignore	137:140
29	was	wf	VBD	be%2	_	un	141:144
30	rescued	wf	VBN	rescue%2|rescued%3	_	un	145:152
31	by	wf	IN	by	_	ignore	153:155
32	Perseus	wf	NNP	Perseus%1	_	un	156:163
33	and	wf	CC	and	_	ignore	164:167
34	became	wf	VBD	become%2	_	un	168:174
35	his	wf	PRP$	his	_	ignore	175:178
36	wife	wf	NN	wife%1	wife%1:18:00::	auto	179:183

# text = a mythical monster with the head of a bull and the body of a man; slain by Theseus
# id = 09499056-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	_	glob|a	_	mythical_monster%1	mythical_monster%1:18:00::	auto	_
3	mythical	cf|a	JJ	mythical%3	_	un	2:10
4	monster	cf|a	NN	monster%1	_	un	11:18
5	with	wf	IN	with	_	ignore	19:23
6	the	wf	DT	the	_	ignore	24:27
7	head	wf	NN	head%1|head%2	head%1:08:00::	man	28:32
8	of	wf	IN	of	_	ignore	33:35
9	a	wf	DT	a	_	ignore	36:37
10	bull	wf	NN	bull%1|bull%2	bull%1:05:01::	man	38:42
11	and	wf	CC	and	_	ignore	43:46
12	the	wf	DT	the	_	ignore	47:50
13	body	wf	NN	body%1|body%2	body%1:08:00::	man	51:55
14	of	wf	IN	of	_	ignore	56:58
15	a	wf	DT	a	_	ignore	59:60
16	man	wf	NN	man%1|man%2	man%1:18:00::	man	61:64
17	;	wf	punc	_	_	ignore	64:65
18	slain	wf	VBN	slain%1|slay%2|slain%3	slay%2:41:00::	man	66:71
19	by	wf	IN	by	_	ignore	72:74
20	Theseus	wf	NNP	Theseus%1	theseus%1:18:00::	auto	75:82

# text = dragon killed by Apollo at Delphi
# id = 09501198-n-1
# type = def
1	dragon	wf	NN	dragon%1	dragon%1:18:02::	man	0:6
2	killed	wf	VBN	kill%2	kill%2:35:00::	man	7:13
3	by	wf	IN	by	_	ignore	14:16
4	Apollo	wf	NNP	Apollo%1	apollo%1:18:00::	auto	17:23
5	at	wf	IN	at	_	ignore	24:26
6	Delphi	wf	NNP	Delphi%1	delphi%1:15:00::	auto	27:33

# text = any of the race of dwarfs who possessed a treasure hoard that was stolen by Siegfried
# id = 09499657-n-1
# type = def
1	any	wf	DT	any	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	the	wf	DT	the	_	ignore	7:10
4	race	wf	NN	race%1|race%2	race%1:14:00::	man	11:15
5	of	wf	IN	of	_	ignore	16:18
6	dwarfs	wf	NN	dwarf%1|dwarf%2	dwarf%1:18:01::	man	19:25
7	who	wf	WP	who	_	ignore	26:29
8	possessed	wf	VBN	possess%2|possessed%3	possess%2:40:00::	man	30:39
9	a	wf	DT	a	_	ignore	40:41
10	treasure	wf	NN	treasure%1|treasure%2	treasure%1:21:00::	man	42:50
11	hoard	wf	NN	hoard%1|hoard%2	hoard%1:21:00::	man	51:56
12	that	wf	WDT	that	_	ignore	57:61
13	was	wf	VBD	be%2	_	un	62:65
14	stolen	wf	VBN	steal%2	steal%2:40:00::	man	66:72
15	by	wf	IN	by	_	ignore	73:75
16	Siegfried	wf	NNP	Siegfried%1	siegfried%1:18:00::	auto	76:85

# text = reptilian creature supposed to live in fire
# id = 09501427-n-1
# type = def
1	reptilian	wf	JJ	reptilian%1|reptilian%3	reptilian%3:01:00::	man	0:9
2	creature	wf	NN	creature%1	creature%1:03:00::	man	10:18
3	supposed	wf	VBN	suppose%2|supposed%3	_	un	19:27
4	to	wf	TO	to	_	ignore	28:30
5	live	wf	VB	live%2|live%3|live%4	_	un	31:35
6	in	wf	IN	in	_	ignore	36:38
7	fire	wf	NN	fire%1|fire%2	fire%1:22:00::	man	39:43

# text = the prince of Troy who abducted Helen from her husband Menelaus and provoked the Trojan War
# id = 09500217-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	prince	wf	NN	prince%1	prince%1:18:00::	auto	4:10
3	of	wf	IN	of	_	ignore	11:13
4	Troy	wf	NNP	Troy%1	troy%1:15:00::	auto	14:18
5	who	wf	WP	who	_	ignore	19:22
6	abducted	wf	VB	abduct%2	abduct%2:35:02::	man	23:31
7	Helen	wf	NNP	Helen%1	helen%1:18:00::	auto	32:37
8	from	wf	IN	from	_	ignore	38:42
9	her	wf	PRP$	her	_	ignore	43:46
10	husband	wf	NN	husband%1|husband%2	husband%1:18:00::	man	47:54
11	Menelaus	wf	NNP	Menelaus%1	menelaus%1:18:00::	auto	55:63
12	and	wf	CC	and	_	ignore	64:67
13	provoked	wf	VB	provoke%2|provoked%3	_	un	68:76
14	the	wf	DT	the	_	ignore	77:80
15	_	glob|a	_	Trojan_War%1	trojan_war%1:04:00::	auto	_
16	Trojan	cf|a	NNP	Trojan%1|Trojan%3	_	un	81:87
17	War	cf|a	NNP	War	_	un	88:91

# text = mythical bird of prey having enormous size and strength
# id = 09501322-n-1
# type = def
1	mythical	wf	JJ	mythical%3	mythical%5:00:00:unreal:00	auto	0:8
2	_	glob|a	_	bird_of_prey%1	bird_of_prey%1:05:00::	auto	_
3	bird	cf|a	NN	bird%1|bird%2	_	un	9:13
4	of	cf|a	IN	of	_	ignore	14:16
5	prey	cf|a	NN	prey%1|prey%2	_	un	17:21
6	having	wf	VBG	have%2	_	un	22:28
7	enormous	wf	JJ	enormous%3	enormous%5:00:00:large:00	auto	29:37
8	size	wf	NN	size%1|size%2|size%3	size%1:07:02::	man	38:42
9	and	wf	CC	and	_	ignore	43:46
10	strength	wf	NN	strength%1	strength%1:07:00::	man	47:55

# text = a mythical hero of Corinth who performed miracles on the winged horse Pegasus (especially killing the monster Chimera)
# id = 09500003-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	mythical	wf	JJ	mythical%3	mythical%5:00:00:unreal:00	auto	2:10
3	hero	wf	NN	hero%1	hero%1:18:04::	man	11:15
4	of	wf	IN	of	_	ignore	16:18
5	Corinth	wf	NNP	Corinth%1	corinth%1:15:00::	auto	19:26
6	who	wf	WP	who	_	ignore	27:30
7	performed	wf	VBN	perform%2	_	un	31:40
8	miracles	wf	NNS	miracle%1	miracle%1:11:01::	man	41:49
9	on	wf	IN	on	_	ignore	50:52
10	the	wf	DT	the	_	ignore	53:56
11	winged	wf	JJ	wing%2|winged%3	winged%3:00:00::	man	57:63
12	horse	wf	NN	horse%1|horse%2	horse%1:05:00::	man	64:69
13	Pegasus	wf	NNP	Pegasus%1	pegasus%1:18:00::	man	70:77
14	(	wf	punc	_	_	ignore	78:79
15	especially	wf	RB	especially%4	_	ignore	79:89
16	killing	wf	VBG	killing%1|kill%2|killing%3	kill%2:35:00::	man	90:97
17	the	wf	DT	the	_	ignore	98:101
18	monster	wf	NN	monster%1	monster%1:18:02::	man	102:109
19	Chimera	wf	NNP	Chimera%1	chimera%1:18:00::	auto	110:117
20	)	wf	punc	_	_	ignore	117:118

# text = a monster able to change appearance from human to wolf and back again
# id = 09503121-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	monster	wf	NN	monster%1	monster%1:18:02::	man	2:9
3	able	wf	JJ	able%3	able%5:00:00:capable:00	man	10:14
4	to	wf	TO	to	_	ignore	15:17
5	change	wf	VB	change%1|change%2	change%2:30:00::	man	18:24
6	appearance	wf	NN	appearance%1	appearance%1:07:00::	man	25:35
7	from	wf	IN	from	_	ignore	36:40
8	human	wf	JJ	human%1|human%3	human%1:05:00::	man	41:46
9	to	wf	TO	to	_	ignore	47:49
10	wolf	wf	VB	wolf%1|wolf%2	wolf%1:05:00::	man	50:54
11	and	wf	CC	and	_	ignore	55:58
12	back	wf	VB	back%1|back%2|back%3|back%4	_	un	59:63
13	again	wf	RB	again%4	again%4:02:00::	auto	64:69

# text = a friend of Achilles who was killed in the Trojan War; his death led Achilles to return to the fight after his quarrel with Agamemnon
# id = 09500398-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	friend	wf	NN	friend%1	_	un	2:8
3	of	wf	IN	of	_	ignore	9:11
4	Achilles	wf	NNP	Achilles%1	achilles%1:18:00::	auto	12:20
5	who	wf	WP	who	_	ignore	21:24
6	was	wf	VBD	be%2	_	un	25:28
7	killed	wf	VBN	kill%2	kill%2:35:00::	man	29:35
8	in	wf	IN	in	_	ignore	36:38
9	the	wf	DT	the	_	ignore	39:42
10	_	glob|a	_	Trojan_War%1	trojan_war%1:04:00::	auto	_
11	Trojan	cf|a	NNP	Trojan%1|Trojan%3	_	un	43:49
12	War	cf|a	NNP	War	_	un	50:53
13	;	wf	punc	_	_	ignore	53:54
14	his	wf	PRP$	his	_	ignore	55:58
15	death	wf	NN	death%1	death%1:11:00::	man	59:64
16	led	wf	VBD	lead%2	_	un	65:68
17	Achilles	wf	NNP	Achilles%1	achilles%1:18:00::	auto	69:77
18	to	wf	TO	to	_	ignore	78:80
19	return	wf	VB	return%1|return%2	_	un	81:87
20	to	wf	TO	to	_	ignore	88:90
21	the	wf	DT	the	_	ignore	91:94
22	fight	wf	NN	fight%1|fight%2	fight%1:04:01::	man	95:100
23	after	wf	IN	after%3|after%4	_	un	101:106
